Company,SalesRep,TEZRevenue,URL
SP+ Corporation,Andrew Sherstad,"$244,957.99 ",
SP+ Corporation,Luis Salazar,"$140,109.50 ",
SP+ Corporation,Kosta Alexopoulos,$0.00 ,
SP+ Corporation,Mark Berglund,,
SP+ Florida,Luis Salazar,,
Spartan Parking,Mark Berglund,$0.00 ,
Split Rock / CAH Hospitality,Troy Wilkinson,$0.00 ,
Springfield Parking Company,Christen Woods,$0.00 ,
Spruce Peak Realty LLC,Troy Wilkinson,,
SRI Twelve Miami Central LLC,Luis Salazar,"$4,969.38 ",
St. Tropez Beach Developers DBA Milton Tower,Luis Salazar,$0.00 ,
St. Tropez on the Bay Master Inc,Luis Salazar,$0.00 ,
Station Casinos LLC,Mark Berglund,$0.00 ,
StoreMy Truck.com LLC,Connor Gray,"$4,841.71 ",
SU VALET S.A DE C.V.,Ken Lovegreen,,
Summit Valet Parking LLC,Shane Daugherty,$590.05 ,
Sunset Harbour North Condominium Association Inc,Luis Salazar,$551.52 ,
Sunset Harbour South Condominium Association Inc,Luis Salazar,$0.00 ,
Sunshine Valet (FL),Luis Salazar,$0.00 ,
Swift Parking,Shane Daugherty,$227.98 ,
Tapp Funeral Home,Christen Woods,$0.00 ,
Target Park US Inc,Troy Wilkinson,$0.00 ,
TAX - Airport - TAX,Craig McCrary,$16.47 ,
TDR Trump Towers Master Association Inc,Luis Salazar,$0.00 ,
Telluride Ski and Golf LLC,Shane Daugherty,$0.00 ,
TH Parking Services LLC,Luis Salazar,,
The 7th Man,Kevin Cobb,$0.00 ,
The Alexander Condominium,Luis Salazar,$0.00 ,
"The Bicycle Casino, LP",Mark Berglund,"$3,236.31 ",
The CAM Firm Inc,Luis Salazar,$722.57 ,
The Car Park,Kevin Cobb,$149.28 ,
The Car Park,Mark Berglund,$0.00 ,
The Coeur d'Alene Resort,Kevin Cobb,"$6,882.95 ",
The Elysee Condominium Association Inc,Luis Salazar,,
The Hemispheres Condo Association,Luis Salazar,$0.00 ,
The Jefferson Hotel,Troy Wilkinson,"$8,960.93 ",
The Nomad Hotel,Mark Berglund,,
The Palms 2100 Master Association,Luis Salazar,$0.00 ,
The Phoenix,Troy Wilkinson,$0.00 ,
The Port of Friday Harbor,Kevin Cobb,$506.31 ,
The Residences at La Colombe d'Or Investors LLC,Shane Daugherty,$0.00 ,
The Residences at The Bath Club,Luis Salazar,,
The Rice Lofts,Shane Daugherty,$0.00 ,
The Travis,Shane Daugherty,$0.00 ,
The Waverly at South Beach Condominium Association,Luis Salazar,$0.00 ,
Thompson Road Distillery Parking,Troy Wilkinson,$0.00 ,
TIBA Parking Systems - Allina Health Hospital,Kosta Alexopoulos,,
TIBA Parking Systems - Kansas City International Airport,Shane Daugherty,$0.00 ,
"Towne Park, LLC",Andrew Sherstad,"$1,273.62 ",
Tradewind Aviation,Troy Wilkinson,"$5,044.91 ",
TRG New River II LTD,Luis Salazar,$0.00 ,
Trinity Parking LLC,John Matiz,$0.00 ,
Trinity Parking Management,Mark Berglund,,
Tri-State Parking,Troy Wilkinson,,
TruPark USA LLC,Luis Salazar,"$1,697.18 ",
Unified Parking,Mark Berglund,,
Union Parking Corp,Luis Salazar,$0.00 ,
United Parking (RI),Troy Wilkinson,"$8,544.76 ",
United Parking Group LLC,Luis Salazar,$0.00 ,
United Parking LLC,Luis Salazar,$196.50 ,
United Valet (TX),Christen Woods,$433.04 ,
United Valet Parking Inc,Kevin Cobb,$0.00 ,
United Valet Parking Inc,Mark Berglund,,
Universal Parking & Transportation-DNU,John Matiz,$0.00 ,
Universal Parking and Transportation,John Matiz,"$2,225.44 ",
"University of California, San Francisco",Kevin Cobb,"$96,002.49 ",
Unparalleled Parking,Kosta Alexopoulos,$0.00 ,
UPP Global LLC,Andrew Sherstad,"$3,093.40 ",
Urbanica Hotels,Luis Salazar,"$1,218.23 ",
US Parking Inc,Luis Salazar,"$19,565.77 ",
USA Valet Parking,Kevin Cobb,"$9,654.91 ",
USA Valet Parking,Mark Berglund,$0.00 ,
USP Parking Inc,Troy Wilkinson,$943.92 ,
USP Parking Inc,Andrew Sherstad,$0.00 ,
UT Southwestern,Shane Daugherty,"$174,611.09 ",
Valentino Valet,Kevin Cobb,"$9,713.51 ",
Valentino Valet,Mark Berglund,$0.00 ,
Valet Blue,Shane Daugherty,,
"Valet Descartes Chicago, Inc",Kosta Alexopoulos,$0.00 ,
"Valet Descartes Chicago, Inc",Kevin Chambers,,
Valet King,Andrew Sherstad,"$1,372.01 ",
Vandon Forbes,Kosta Alexopoulos,,
Village of Port Jefferson,Andrew Sherstad,$0.00 ,
VIP Parking Solutions (CO),Shane Daugherty,,
Virtuoso Valet Service,Andrew Sherstad,$0.00 ,
Vista Parking LLC,John Matiz,$0.00 ,
Vizcaya Enterprises Inc,Luis Salazar,"$59,865.61 ",
VPC LLC,Andrew Sherstad,$0.00 ,
VPNE,Luis Salazar,$816.69 ,
W25 Owner LLC,Luis Salazar,$0.00 ,
Welcome Parking LLC,Andrew Sherstad,$0.00 ,
Wells Fargo Plaza - CBRE,Shane Daugherty,"$13,537.25 ",
Westpark Express,Kevin Cobb,"$2,253.20 ",
Westside Brake and Tires,Mark Berglund,$2.12 ,
White Lodging,Andrew Sherstad,$0.00 ,
William Penn Parking,Andrew Sherstad,$582.20 ,
World Valet Parking,Luis Salazar,$0.00 ,
Wurzak Hotel Group,Andrew Sherstad,,
Wynwood Valet LLC,Luis Salazar,$0.00 ,
Xclusive Auto Spa & Valet,Kevin Cobb,$0.00 ,
Xibit Parking LLC,Luis Salazar,,
Xpress Parking Services LLC,Troy Wilkinson,"$1,501.59 ",
ZRS Management,Luis Salazar,$0.00 ,
ZVP Services,Christen Woods,$0.00 ,
