Company,SalesRep,TEZRevenue,URL
Cleburne Truck Parking LLC,Shane Daugherty,$282.32 ,
Coast Hospitality Management,Mark Berglund,$204.08 ,
Codina Partners,Luis Salazar,"$2,137.68 ",
Colonial Country Club,Shane Daugherty,,
Colonial Parking,Troy Wilkinson,"$109,187.09 ",
Colorado Valets,Shane Daugherty,$20.30 ,
Community Building Enterprises,Ken Lovegreen,$0.00 ,
Connect Parking Solutions Company,Shane Daugherty,,
Corinthian International,Kevin Cobb,"$5,239.56 ",
Cornerstone Parking,Troy Wilkinson,"$8,173.73 ",
Cornerstone Parking,Andrew Sherstad,"$4,188.29 ",
Cornerstone Parking,,$0.00 ,
Courtesy Valet,Luis Salazar,$54.72 ,
Craig Location T2P,Craig McCrary,$0.00 ,
Craigs T2 Test Company,Craig McCrary,$0.00 ,
Cypress Healthcare Valet,Connor Gray,"$14,199.63 ",
Daggett Southside Holdings LLC,Shane Daugherty,"$1,558.60 ",
Dallas MTV LLC,Shane Daugherty,$0.00 ,
DCCA Services Aux Enterprises,Troy Wilkinson,$0.00 ,
DEC Parking Way LLC,Luis Salazar,"$21,259.14 ",
Delux Public Charter LLC,Christen Woods,$0.00 ,
Denison Parking,Kosta Alexopoulos,"$1,533.93 ",
Deutsche Beverage Technology,John Matiz,$214.48 ,
Dexterous Parking Management and Valet Parking Services,Shane Daugherty,$0.00 ,
District Valet Inc,Shane Daugherty,$0.00 ,
Divine Services Corp.,Troy Wilkinson,$411.25 ,
Divine Services Corp.,Geremy Rodamer,,
Doe Branch Industrial Storage & Parking,Christen Woods,$121.89 ,
Downtown Lakeland,Luis Salazar,$57.00 ,
Downtown Land LLC,Andrew Sherstad,$0.00 ,
"Downtown Retail Holdings, LLC",Luis Salazar,$854.08 ,
Dreamcatcher Event Services,Luis Salazar,$0.00 ,
Duke University Health System,John Matiz,,
Eagle Parking,Luis Salazar,$0.00 ,
EAZY LIFE PROPERTIES,Ken Lovegreen,$0.00 ,
Echo Brickell Condominium Association Inc,Luis Salazar,"$10,545.51 ",
El Paso Fast Spot Airport Valet,Shane Daugherty,"$32,061.34 ",
Elevate Hospitality,Luis Salazar,$0.00 ,
Elevate Parking,Kevin Cobb,$0.00 ,
Eli Valet,Shane Daugherty,$0.00 ,
Elite High Class Valet Parking,Luis Salazar,$0.00 ,
Elite Management Services,Kosta Alexopoulos,,
Elite Parking LLC,Luis Salazar,"$3,901.05 ",
Elite Parking Management,Andrew Sherstad,,
Elite Parking Services,Kevin Cobb,"$33,055.24 ",
Elite Valet Services (TX),Christen Woods,$0.00 ,
Eloe Property Holdings LLC,Kevin Cobb,$939.44 ,
Eloe Property Management LLP,Mark Berglund,$2.04 ,
Emporium Hotels South Bank,Shane Daugherty,,
Epic Parking LLC,Kosta Alexopoulos,"$19,066.01 ",
Epic Valet,Kevin Cobb,"$34,680.52 ",
Epic Valet,Shane Daugherty,,
ESPACIA ESTACIONAMIENTOS,Ken Lovegreen,,
Estacionamientos Rice,Ken Lovegreen,,
ESTRATEGIA EN ESTACIONAMIENTOS Y VALET PARKING SA DE CV,Ken Lovegreen,,
Evolution Parking & Guest Services,Luis Salazar,$0.00 ,
EVS Parking LLC,Shane Daugherty,$441.00 ,
Excel Valet,Luis Salazar,$0.00 ,
Executive Parking Systems,John Matiz,$140.67 ,
Executive Parking Systems,Geremy Rodamer,$0.00 ,
Express Parking,Troy Wilkinson,$679.54 ,
FC Hospitality,Kosta Alexopoulos,$0.00 ,
Fiber Mills Management LLC,Andrew Sherstad,"$23,077.50 ",
First Class Detail Car Wash LLC,Luis Salazar,$0.00 ,
First Class Group Services LLC,Luis Salazar,$0.00 ,
First Class Parking System LLC,Luis Salazar,"$4,499.12 ",
First Class Valet,Andrew Sherstad,$0.00 ,
First Class Valet (AU),Shane Daugherty,,
First Class Valet (AU),Ken Lovegreen,,
First Impression Valet,Troy Wilkinson,,
First Impressions Parking Solutions,Kosta Alexopoulos,"$6,286.85 ",
Fitler Club LLC,Troy Wilkinson,"$7,749.88 ",
Five Diamond Auto Spa,Luis Salazar,$0.00 ,
Five Star Valet,Luis Salazar,$0.00 ,
Flight Center Hotel LLC,Andrew Sherstad,"$19,990.69 ",
Floros Downtown LLC,Andrew Sherstad,$0.00 ,
Fort Works Art,Shane Daugherty,$483.20 ,
Fortune House Hotel,Luis Salazar,"$12,780.20 ",
Fox Hotel 1 LLC,Mark Berglund,"$9,652.67 ",
Fred Jones Safeties Agency LLC,John Matiz,$0.00 ,
Frenglish LLC,John Matiz,$0.00 ,
Fulton Easy Parking,Shane Daugherty,$0.00 ,
Future Wash,Kevin Cobb,$0.00 ,
G&F Logistical Services LLC,John Matiz,$0.00 ,
"Gary Johnson, OD, PC",Shane Daugherty,$9.50 ,
Glamar Parking,Kevin Cobb,$0.00 ,
Glamar Parking,Shane Daugherty,$0.00 ,
Global Pacific Properties - Managed by Nationwide Parking Services,Mark Berglund,"$5,448.75 ",
Global Parking LLC,Luis Salazar,$0.00 ,
Go Green Auto Spa,Kevin Cobb,"$60,835.65 ",
Go Management,Ken Lovegreen,$0.00 ,
Gold Coast Parking Management LLC,Andrew Sherstad,$0.00 ,
Gold Key Valet,Shane Daugherty,$52.11 ,
Golden Parking System LLC DBA Omni Parking,Luis Salazar,$0.00 ,
Goodman Group LLC,Kevin Cobb,$63.04 ,
Graystreet Partners,Shane Daugherty,$34.25 ,
Great American Restaurants Inc,Troy Wilkinson,$193.80 ,
Green Diamond Condo Association,Luis Salazar,$0.00 ,
Greene Property Management LLC,Luis Salazar,$0.00 ,
Greystar / Savoy Apartments,Andrew Sherstad,"$11,508.90 ",
Grupo ECO,Ken Lovegreen,,
Guardian Concierge Services,Connor Gray,$0.00 ,
Guardian Parking Management Services LLC,Andrew Sherstad,$5.14 ,
GW Property Services LLC,Shane Daugherty,"$1,053.34 ",
H2O Car Valeting & Valet Spa,Troy Wilkinson,"$86,387.80 ",
Hackensack Meridian Health,Troy Wilkinson,,
Harbor Parking,Shane Daugherty,$37.56 ,
Hawkeye's Bar,Troy Wilkinson,$0.00 ,
Heritage Parking Services LLC,Andrew Sherstad,$0.00 ,
Hertz Investment Group,Mark Berglund,"$63,614.91 ",
High Class Parking Inc,Luis Salazar,,
HM Market Square,Shane Daugherty,$0.00 ,
Hollywood Valet Services LLC,Kevin Cobb,,
Hospitality Parking Services Inc,Kosta Alexopoulos,"$14,313.82 ",
Hotel Eastlund,Kevin Cobb,"$18,601.30 ",
Hotel Nia (in-house),Kevin Cobb,$680.00 ,
Hotel Vin,Shane Daugherty,$0.00 ,
HotelCrafters Lido LLC,Luis Salazar,$0.00 ,
HRI Lodging DBA Holston House,Connor Gray,$0.00 ,
ICAR Services,Ken Lovegreen,,
Impark,Kosta Alexopoulos,,
Impressive Parking,Andrew Sherstad,$0.00 ,
Indigo One LLC-MKM Hotels,Mark Berglund,"$4,697.18 ",
Inland Empire Parking Services,Mark Berglund,$392.83 ,
Inter-American Development Bank,Troy Wilkinson,$0.00 ,
Intracoastal Parking LLC,Luis Salazar,"$21,794.12 ",
IP2 LLC,Mark Berglund,"$3,756.50 ",
J&N Parking Group CORP.,Luis Salazar,,
J.M. Property Company LLC,Troy Wilkinson,$10.24 ,
Jack Boles Parking,Christen Woods,"$29,643.79 ",
Jacobsen/Daniels Associates LLC,Troy Wilkinson,"$201,973.27 ",
JBG Smith Management Services LLC,Andrew Sherstad,"$10,342.24 ",
JC Parking,Luis Salazar,$0.00 ,
JHB LLC,John Matiz,"$1,667.43 ",
JOP LLC,Shane Daugherty,$0.00 ,
